GEOID,District0,District1,District2
01061050200,404.0,491.0,5028.0
01061050300,404.0,491.0,5028.0
01061050400,404.0,491.0,5028.0
01061050500,404.0,491.0,5028.0
01061050600,404.0,491.0,5028.0
01063060000,264.0,491.0,5026.0
01063060101,264.0,491.0,5026.0
01063060102,264.0,491.0,5026.0
01063060200,264.0,491.0,5026.0
01065040000,264.0,491.0,5026.0
01065040100,264.0,491.0,5026.0
01065040200,264.0,491.0,5026.0
01065040300,264.0,491.0,5026.0
01065040401,264.0,491.0,5026.0
01065040402,264.0,491.0,5026.0
01065040500,264.0,491.0,5026.0
01067030100,404.0,2152.0,5028.0
01067030200,404.0,2152.0,5028.0
01067030300,404.0,2152.0,5028.0
01067030400,404.0,2152.0,5028.0
01067030500,404.0,2152.0,5028.0
01067030600,404.0,2152.0,5028.0
01069040100,404.0,2152.0,5028.0
01069040203,404.0,2152.0,5028.0
01069040204,404.0,2152.0,5028.0
01069040205,404.0,2152.0,5028.0
01069040206,404.0,2152.0,5028.0
01069040301,404.0,2152.0,5028.0
01069040302,404.0,2152.0,5028.0
01069040400,404.0,2152.0,5028.0
01069040500,404.0,2152.0,5028.0
01069040600,404.0,2152.0,5028.0
01069040700,404.0,2152.0,5028.0
01069040801,404.0,2152.0,5028.0
01069040802,404.0,2152.0,5028.0
01069040900,404.0,2152.0,5028.0
01069041000,404.0,2152.0,5028.0
01069041100,404.0,2152.0,5028.0
01069041200,404.0,2152.0,5028.0
01069041400,404.0,2152.0,5028.0
01069041500,404.0,2152.0,5028.0
01069041600,404.0,2152.0,5028.0
01069041700,404.0,2152.0,5028.0
01069041800,404.0,2152.0,5028.0
01069041901,404.0,2152.0,5028.0
01069041902,404.0,2152.0,5028.0
01069042000,404.0,2152.0,5028.0
01069042100,404.0,2152.0,5028.0
01071950101,0.0,479.0,2630.0
01071950102,0.0,479.0,2630.0
01071950200,0.0,479.0,2630.0
01071950301,0.0,479.0,2630.0
01071950302,0.0,479.0,2630.0
01071950400,0.0,479.0,2630.0
01071950500,0.0,479.0,2630.0
01071950601,0.0,479.0,2630.0
01071950602,0.0,479.0,2630.0
01071950700,0.0,479.0,2630.0
01071950800,0.0,479.0,2630.0
01071950901,0.0,479.0,2630.0
01071950902,0.0,479.0,2630.0
01071951000,0.0,479.0,2630.0
01071951101,0.0,479.0,2630.0
01071951102,0.0,479.0,2630.0
01073000100,29.0,2153.0,2671.0
01073000300,265.0,2153.0,2671.0
01073000400,265.0,2153.0,2671.0
01073000500,265.0,2151.0,2671.0
01073000700,265.0,491.0,2671.0
01073000800,265.0,491.0,2671.0
01073001100,265.0,491.0,2671.0
01073001200,265.0,491.0,2671.0
01073001400,265.0,491.0,2671.0
01073001500,265.0,491.0,2671.0
01073001600,265.0,491.0,2671.0
01073001902,264.0,2153.0,2671.0
01073002000,29.0,2153.0,2671.0
01073002100,29.0,2153.0,2671.0
01073002200,264.0,2153.0,2671.0
01073002303,264.0,2153.0,2670.0
01073002305,265.0,2153.0,2671.0
01073002306,264.0,2153.0,2671.0
01073002401,265.0,2151.0,2671.0
01073002402,265.0,2151.0,2671.0
01073002701,265.0,2151.0,2671.0
01073002702,265.0,2151.0,2671.0
