GEOID20,District0,District1,District2,District3,District4,District5,District6,District7
360290005001013,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001014,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001015,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001016,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001017,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001018,6.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001019,5.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001020,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001021,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001022,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001023,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005001024,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001025,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001026,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001027,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001028,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001032,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001038,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001039,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001040,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001041,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001042,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001043,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001044,5.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290005001045,5.0,27.0,47.0,67.0,100.0,127.0,151.0,168.0
360290005001046,5.0,27.0,47.0,67.0,106.0,127.0,151.0,168.0
360290005001047,5.0,27.0,47.0,67.0,106.0,127.0,144.0,168.0
360290005001048,5.0,27.0,47.0,67.0,106.0,127.0,151.0,168.0
360290005001049,5.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290005001050,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001051,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001052,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005001053,7.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290005001054,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001055,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005001056,6.0,22.0,47.0,67.0,106.0,127.0,144.0,168.0
360290005001057,5.0,22.0,47.0,67.0,106.0,127.0,144.0,168.0
360290005002000,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002001,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002002,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002003,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002004,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002005,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005002006,7.0,27.0,49.0,65.0,100.0,127.0,151.0,164.0
360290005002007,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002008,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002009,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002010,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002011,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002012,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002013,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290005002014,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005002015,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005002016,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005002017,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005002018,7.0,27.0,49.0,67.0,100.0,127.0,151.0,169.0
360290005002019,7.0,27.0,49.0,67.0,100.0,127.0,151.0,164.0
360290006001000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006001001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006001002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006001003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006001004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006001005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006002005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290006004006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007001000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007001001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007001002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007001003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
