GEOID20,District0
360290008002003,40.0
360290008002004,40.0
360290008002005,40.0
360290008002006,40.0
360290008002007,40.0
360290008002008,40.0
360290008002009,40.0
360290008002010,40.0
360290008002011,40.0
360290008003000,40.0
360290008003001,40.0
360290008003002,40.0
360290008003003,40.0
360290008003004,40.0
360290008003005,40.0
360290008003006,40.0
360290008003007,40.0
360290008003008,40.0
360290008003009,40.0
360290008003010,40.0
360290008003011,40.0
360290008004000,40.0
360290008004001,40.0
360290008004002,40.0
360290008004003,40.0
360290008004004,40.0
360290008004005,40.0
360290009001000,40.0
360290009001001,40.0
360290009001002,40.0
360290009001003,40.0
360290009001004,40.0
360290009001005,40.0
360290009001006,40.0
360290009002000,40.0
360290009002001,40.0
360290009002002,40.0
360290009002003,40.0
360290009002004,40.0
360290009002005,40.0
360290009002006,40.0
360290009002007,40.0
360290009002008,40.0
360290009002009,40.0
360290009002010,40.0
360290009002011,40.0
360290009003000,40.0
360290009003001,40.0
360290009003002,40.0
360290009003003,40.0
360290009003004,40.0
360290009003005,40.0
360290009003006,40.0
360290009003007,40.0
360290009003008,40.0
360290009003009,40.0
360290010001000,40.0
360290010001001,40.0
360290010001002,40.0
360290010001003,40.0
360290010001004,40.0
360290010001005,40.0
360290010001006,40.0
360290010001007,40.0
360290010001008,40.0
360290010001009,40.0
360290010001010,40.0
360290010001011,40.0
360290010001012,40.0
360290010001013,40.0
360290010001014,40.0
360290010002000,40.0
360290010002001,40.0
360290010002002,40.0
360290010002003,40.0
360290010002004,40.0
360290010003000,40.0
360290010003001,40.0
360290010003002,40.0
360290010003003,40.0
360290010003004,40.0
360290010003005,40.0
360290010003006,40.0
360290010003007,40.0
360290010003008,40.0
360290010003009,40.0
360290010003010,40.0
360290010004000,40.0
360290010004001,40.0
360290010004002,40.0
360290010004003,40.0
360290010004004,40.0
360290010004005,40.0
360290010004006,40.0
360290010004007,40.0
360290010004008,40.0
360290010005000,40.0
360290010005001,40.0
360290010005002,40.0
360290010005003,40.0
360290010005004,40.0
360290010005005,40.0
360290010005006,40.0
360290010005007,40.0
360290010005008,40.0
360290010005009,40.0
360290010005010,40.0
360290010005011,40.0
360290011001000,33.0
360290011001001,33.0
360290011001002,33.0
360290011001003,40.0
360290011001004,40.0
360290011001005,40.0
360290011001006,40.0
360290011001007,40.0
360290011001008,40.0
360290011001009,40.0
360290011001010,40.0
360290011002000,40.0
360290011002001,40.0
360290011002002,40.0
360290011002003,40.0
360290011002004,40.0
360290011002005,40.0
360290011003000,40.0
360290011003001,40.0
360290011003002,40.0
360290011003003,40.0
360290011003004,40.0
360290011003005,40.0
360290011003006,40.0
360290011003007,40.0
360290011003008,40.0
360290011003009,40.0
360290011003010,40.0
360290011003011,40.0
360290011003012,40.0
360290011003013,40.0
360290011003014,40.0
360290011003015,40.0
360290011003016,40.0
360290014031000,40.0
360290014031001,40.0
360290014031002,40.0
360290014031003,40.0
360290014031004,40.0
360290014031005,40.0
360290014031006,40.0
360290014031007,40.0
360290014032000,40.0
360290014032001,40.0
360290014032002,40.0
360290014032003,40.0
360290014032004,40.0
360290014032005,40.0
360290014032006,40.0
360290014032007,40.0
360290014032008,40.0
360290014032009,40.0
360290014032010,40.0
360290014032011,40.0
360290014032012,40.0
360290014041000,40.0
360290014041001,40.0
360290014041002,40.0
360290014041003,40.0
360290014042000,40.0
360290014042001,40.0
360290014042002,40.0
360290014042003,40.0
360290014042004,40.0
360290014042005,40.0
360290014042006,40.0
360290014042007,40.0
360290014042008,40.0
360290014042009,40.0
360290014042010,40.0
360290014042011,40.0
360290014042012,40.0
360290014042013,40.0
360290014042014,40.0
360290015001000,34.0
360290015001001,40.0
360290015001002,40.0
360290015001003,40.0
360290015001004,40.0
360290015001005,34.0
360290015001006,40.0
360290015001007,40.0
360290015001008,40.0
360290015001009,40.0
360290015001010,40.0
360290015001011,40.0
360290015001012,40.0
360290015001013,40.0
360290015001014,40.0
360290015001015,40.0
360290015001016,40.0
360290015001017,40.0
360290015001018,40.0
360290015001019,40.0
360290015001020,40.0
360290015001021,40.0
360290015001022,40.0
360290015001023,40.0
360290015001024,40.0
360290015001025,40.0
360290015001026,40.0
360290015001027,40.0
360290015001028,40.0
360290015001029,40.0
360290015001030,40.0
360290015001031,40.0
360290015002000,34.0
360290015002001,34.0
360290015002002,34.0
360290015002003,34.0
360290015002004,34.0
360290015002005,40.0
360290015002006,40.0
360290015002007,40.0
360290015002008,40.0
360290015002009,40.0
360290015002010,40.0
360290015002011,34.0
360290015002012,34.0
360290015002013,40.0
360290015002014,40.0
360290015002015,40.0
360290015003000,40.0
360290015003001,40.0
360290015003002,40.0
360290015003003,40.0
360290015003004,40.0
360290015003005,40.0
360290015003006,40.0
360290015003007,40.0
360290015003008,40.0
360290015003009,40.0
360290015003010,40.0
360290015003011,40.0
360290015003012,40.0
360290015003013,40.0
360290016011000,34.0
360290016011001,34.0
360290016011002,34.0
360290016011003,34.0
360290016011004,34.0
360290016011005,34.0
360290016011006,34.0
360290016011007,34.0
360290016011008,34.0
360290016011009,34.0
360290016011010,34.0
360290016011011,34.0
360290016011012,34.0
360290016011013,34.0
360290016011014,34.0
360290016011015,34.0
360290016011016,34.0
360290016011017,34.0
360290016011018,34.0
360290016011019,34.0
360290016011020,34.0
360290016011021,34.0
360290016011022,34.0
360290016021000,34.0
360290016021001,34.0
360290016021002,34.0
360290016021003,34.0
360290016021004,34.0
360290016021005,34.0
360290016021006,34.0
360290016021007,34.0
360290016021008,34.0
360290016021009,34.0
360290016021010,34.0
360290016021011,34.0
360290016021012,34.0
360290016021013,34.0
360290016021014,34.0
360290016021015,34.0
360290016021016,34.0
360290016021017,34.0
360290016021018,34.0
360290016021019,34.0
360290016021020,34.0
360290016021021,34.0
360290016021022,34.0
360290016021023,34.0
360290016021024,34.0
360290016021025,34.0
360290016021026,34.0
360290016021027,34.0
360290016021028,34.0
360290016021029,34.0
360290016021030,34.0
360290016021031,34.0
360290017001000,34.0
360290017001001,34.0
360290017001002,34.0
360290017001003,34.0
360290017001004,34.0
360290017001005,34.0
360290017001006,34.0
360290017001007,34.0
360290017001008,34.0
360290017001009,34.0
360290017001010,34.0
360290017001011,34.0
360290017001012,34.0
360290017001013,34.0
360290017001014,34.0
360290017001015,34.0
360290017001016,34.0
360290017001017,34.0
360290017001018,34.0
360290017001019,34.0
360290017001020,34.0
360290017001021,34.0
360290017001022,33.0
360290017001023,33.0
360290017002000,34.0
360290017002001,40.0
360290017002002,40.0
360290017002003,40.0
360290017002004,40.0
360290017002005,40.0
360290017002006,34.0
360290017002007,34.0
360290017002008,40.0
360290017002009,40.0
360290017002010,40.0
360290017002011,40.0
360290017002012,40.0
