GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290002003003,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002003004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002003005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004000,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002004001,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002004002,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004003,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004004,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004005,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004006,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004007,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004008,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004009,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002004010,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290005001000,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,320.0,352.0
360290005001001,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001002,0.0,33.0,81.0,99.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001003,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001004,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,320.0,335.0
360290005001005,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001006,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001007,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,301.0,322.0,335.0
360290005001008,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005001009,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005001010,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005001011,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001012,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001013,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001014,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005001015,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001016,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001017,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001018,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001019,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001020,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001021,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001022,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001023,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
