GEOID,District0,District1
01077010800,542.0,2985.0
01077010901,542.0,2985.0
01077010902,542.0,2985.0
01077011000,542.0,2985.0
01077011101,541.0,2985.0
01077011102,542.0,2985.0
01077011200,542.0,2985.0
01077011300,542.0,2985.0
01077011401,541.0,2986.0
01077011402,541.0,2985.0
01077011502,541.0,2986.0
01077011503,542.0,2985.0
01077011504,542.0,2985.0
01077011602,541.0,2986.0
01077011603,541.0,2986.0
01077011605,542.0,2986.0
01077011606,542.0,2986.0
01077011700,541.0,2986.0
01077011801,541.0,2986.0
01077011802,541.0,2986.0
01079979100,542.0,2986.0
01079979201,542.0,2986.0
01079979202,542.0,2986.0
01079979300,542.0,2986.0
01079979400,542.0,2986.0
01079979501,542.0,2986.0
01079979502,542.0,2986.0
01079979600,542.0,2986.0
01079979700,542.0,2986.0
01079979800,542.0,2986.0
01079979900,542.0,2985.0
01081040201,2439.0,6019.0
01081040202,2439.0,6019.0
01081040300,2440.0,6019.0
01081040401,2440.0,6019.0
01081040402,2439.0,6019.0
01081040403,2440.0,6019.0
01081040501,2439.0,6019.0
01081040502,2440.0,6019.0
01081040602,2440.0,6019.0
01081040603,2440.0,6019.0
01081040605,2440.0,6019.0
01081040606,2440.0,6019.0
01081040607,2440.0,6019.0
01081040700,2440.0,6019.0
01081040801,2440.0,6019.0
01081040802,2440.0,6019.0
01081040901,2440.0,6019.0
01081040903,2440.0,6019.0
01081040904,2439.0,6019.0
01081041001,2440.0,6019.0
01081041002,2440.0,6019.0
01081041101,2439.0,6019.0
01081041102,2440.0,6019.0
01081041103,2440.0,6019.0
01081041104,2440.0,6019.0
01081041200,2439.0,6019.0
01081041300,2439.0,6019.0
01081041400,2439.0,6019.0
01081041600,2439.0,6019.0
01081041701,2439.0,6019.0
01081041702,2439.0,6019.0
01081041703,2439.0,6019.0
01081041801,2439.0,6019.0
01081041802,2439.0,6019.0
01081041803,2439.0,6019.0
01081041901,2439.0,6019.0
01081041902,2439.0,6019.0
01081041903,2439.0,6019.0
