GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans
370010003N2,1084173.2882416924,-473533.1653584226,0.7723322664475977,,,,,,,,,,,,,,,,,,,,
37001001210,1091027.49044313,-474806.89432471624,3.105334450856583,,,,,,,,,,,,,,,,,,,,
3700300000E,927219.8886245228,-501411.59969875496,117.03335376775104,,,,,,,,,,,,,,,,,,,,
3700300000M,943665.400876958,-510217.58787303773,61.410887935014586,,,,,,,,,,,,,,,,,,,,
3700300000W,932848.4983938962,-510005.3944838894,30.853986244961312,,,,,,,,,,,,,,,,,,,,
370030000B1,924057.8148083145,-510549.55651821446,28.030425736341552,,,,,,,,,,,,,,,,,,,,
370030000B2,927387.8167112661,-510681.6993135534,35.33274755068726,,,,,,,,,,,,,,,,,,,,
3700300G1G2,947246.4724901149,-494034.1333306962,110.84441972624471,,,,,,,,,,,,,,,,,,,,
3700300LRSL,933569.9302950063,-493502.1566953819,120.10655533701578,,,,,,,,,,,,,,,,,,,,
3700300S1S2,944643.3530671842,-500974.58178928046,73.52224141325068,,,,,,,,,,,,,,,,,,,,
3700300T2T3,938891.1606314576,-500442.43757890415,39.13340724641335,,,,,,,,,,,,,,,,,,,,
37003T1T4T5,936594.4822779564,-505488.7046358381,66.00444577860299,,,,,,,,,,,,,,,,,,,,
37005000001,947746.71429653,-443391.11171621544,105.20169347199304,,,,,,,,,,,,,,,,,,,,
37005000004,950583.775086155,-433242.8968415367,103.12188479206385,,,,,,,,,,,,,,,,,,,,
3700500003A,937785.8397157992,-436412.8178031955,188.01887253766955,,,,,,,,,,,,,,,,,,,,
3700500006A,926419.8829222907,-438211.66978577845,215.10025248389738,,,,,,,,,,,,,,,,,,,,
370070000MM,1053095.6699703129,-612868.488800209,112.1560311967278,,,,,,,,,,,,,,,,,,,,
370070000WS,1027799.0310762619,-612242.9046342241,158.9246516312538,,,,,,,,,,,,,,,,,,,,
37007000ANS,1038769.0693276341,-586124.7463979666,172.69617446085107,,,,,,,,,,,,,,,,,,,,
3700700BURN,1026801.351905792,-585219.1183506515,126.73547573064985,,,,,,,,,,,,,,,,,,,,
3700700GULL,1040930.2811397145,-613208.1246143591,134.2655086236755,,,,,,,,,,,,,,,,,,,,
3700700LILE,1054767.7649738698,-598127.0379044041,297.0582606885263,,,,,,,,,,,,,,,,,,,,
3700700PEAC,1025687.0079408113,-598990.480423512,91.36158435081573,,,,,,,,,,,,,,,,,,,,
3700700POLK,1031369.0202150056,-598815.2139801561,63.584374330562405,,,,,,,,,,,,,,,,,,,,
370070WADES,1040634.898694988,-600075.7990022094,233.35698058393857,,,,,,,,,,,,,,,,,,,,
37009000002,898367.2219802992,-442236.7457288574,74.86321136034535,,,,,,,,,,,,,,,,,,,,
37009000003,894921.4734069641,-450765.41881059605,74.85277139028736,,,,,,,,,,,,,,,,,,,,
37009000004,898084.7628749114,-459206.1009416168,30.414949835545194,,,,,,,,,,,,,,,,,,,,
37009000006,906136.332376988,-432697.3410538273,47.451886444182605,,,,,,,,,,,,,,,,,,,,
37009000007,895853.4715304506,-435797.10885935934,47.09368265888078,,,,,,,,,,,,,,,,,,,,
37009000008,895647.9413303364,-431115.58690786187,35.96602589607113,,,,,,,,,,,,,,,,,,,,
37009000009,911599.6660951544,-447488.5401642502,85.45993269431244,,,,,,,,,,,,,,,,,,,,
37009000010,890179.2565112232,-441571.9925664482,30.010837819260153,,,,,,,,,,,,,,,,,,,,
37009000011,913745.4025077333,-437689.7887667504,152.3640995199846,,,,,,,,,,,,,,,,,,,,
37009000012,888184.2396373401,-448914.1724562217,68.0801834048077,,,,,,,,,,,,,,,,,,,,
37009000013,914656.0783437481,-456755.9492575835,58.22013420301026,,,,,,,,,,,,,,,,,,,,
37009000014,902306.726817874,-455486.96529467846,57.87930117800069,,,,,,,,,,,,,,,,,,,,
