GEOID20,District0,District1
360290011003014,28.0,72.0
360290011003015,28.0,72.0
360290011003016,29.0,72.0
360290014031000,29.0,87.0
360290014031001,29.0,87.0
360290014031002,29.0,87.0
360290014031003,29.0,87.0
360290014031004,29.0,87.0
360290014031005,29.0,87.0
360290014031006,29.0,87.0
360290014031007,29.0,87.0
360290014032000,29.0,87.0
360290014032001,29.0,87.0
360290014032002,29.0,87.0
360290014032003,29.0,87.0
360290014032004,29.0,87.0
360290014032005,29.0,87.0
360290014032006,29.0,87.0
360290014032007,29.0,87.0
360290014032008,29.0,87.0
360290014032009,29.0,87.0
360290014032010,29.0,87.0
360290014032011,29.0,87.0
360290014032012,29.0,87.0
360290014041000,29.0,87.0
360290014041001,29.0,87.0
360290014041002,29.0,87.0
360290014041003,29.0,87.0
360290014042000,29.0,87.0
360290014042001,29.0,87.0
360290014042002,29.0,87.0
360290014042003,29.0,87.0
360290014042004,29.0,87.0
360290014042005,29.0,87.0
360290014042006,29.0,87.0
360290014042007,29.0,87.0
360290014042008,29.0,87.0
360290014042009,29.0,87.0
360290014042010,29.0,87.0
360290014042011,29.0,87.0
360290014042012,29.0,87.0
360290014042013,29.0,87.0
360290014042014,29.0,87.0
360290015001000,29.0,87.0
360290015001001,29.0,87.0
360290015001002,29.0,87.0
360290015001003,29.0,87.0
360290015001004,29.0,87.0
360290015001005,29.0,87.0
360290015001006,29.0,87.0
360290015001007,29.0,87.0
360290015001008,29.0,87.0
360290015001009,29.0,87.0
360290015001010,29.0,87.0
360290015001011,29.0,87.0
360290015001012,29.0,87.0
360290015001013,29.0,87.0
360290015001014,29.0,87.0
360290015001015,29.0,87.0
360290015001016,29.0,87.0
360290015001017,29.0,87.0
360290015001018,29.0,87.0
360290015001019,29.0,87.0
360290015001020,29.0,87.0
360290015001021,29.0,87.0
360290015001022,29.0,87.0
360290015001023,29.0,87.0
360290015001024,29.0,87.0
360290015001025,29.0,87.0
360290015001026,29.0,87.0
360290015001027,29.0,87.0
360290015001028,29.0,87.0
360290015001029,29.0,87.0
360290015001030,29.0,87.0
360290015001031,29.0,87.0
360290015002000,29.0,87.0
360290015002001,29.0,87.0
360290015002002,29.0,87.0
360290015002003,29.0,87.0
360290015002004,33.0,87.0
360290015002005,29.0,87.0
360290015002006,33.0,87.0
360290015002007,29.0,87.0
360290015002008,33.0,87.0
360290015002009,29.0,87.0
360290015002010,29.0,87.0
360290015002011,29.0,87.0
360290015002012,29.0,87.0
360290015002013,29.0,87.0
360290015002014,29.0,87.0
360290015002015,29.0,87.0
360290015003000,29.0,87.0
360290015003001,29.0,87.0
360290015003002,29.0,87.0
360290015003003,29.0,87.0
360290015003004,29.0,87.0
360290015003005,29.0,87.0
360290015003006,29.0,87.0
360290015003007,29.0,87.0
360290015003008,29.0,87.0
360290015003009,29.0,87.0
360290015003010,29.0,87.0
360290015003011,29.0,87.0
360290015003012,29.0,87.0
360290015003013,29.0,87.0
360290016011000,29.0,87.0
360290016011001,29.0,87.0
360290016011002,32.0,87.0
360290016011003,32.0,87.0
360290016011004,32.0,87.0
360290016011005,32.0,87.0
360290016011006,32.0,87.0
360290016011007,32.0,87.0
360290016011008,32.0,87.0
360290016011009,32.0,87.0
360290016011010,32.0,87.0
360290016011011,32.0,87.0
360290016011012,32.0,87.0
360290016011013,32.0,87.0
360290016011014,32.0,87.0
360290016011015,32.0,87.0
360290016011016,29.0,87.0
360290016011017,32.0,87.0
360290016011018,32.0,87.0
360290016011019,32.0,87.0
360290016011020,32.0,87.0
360290016011021,32.0,87.0
360290016011022,32.0,87.0
360290016021000,32.0,87.0
360290016021001,32.0,87.0
360290016021002,32.0,87.0
360290016021003,32.0,87.0
360290016021004,32.0,87.0
360290016021005,32.0,87.0
360290016021006,29.0,87.0
360290016021007,29.0,87.0
360290016021008,29.0,87.0
360290016021009,29.0,87.0
360290016021010,29.0,87.0
360290016021011,29.0,87.0
360290016021012,29.0,87.0
360290016021013,29.0,87.0
