GEOID,p_white
01015002104,72.3
01015002105,68.4
01015002200,95.0
01015002300,79.5
01015002400,91.9
01015002502,96.0
01015002503,82.2
01015002504,90.6
01015002600,95.9
01015981901,100.0
01015981902,0.0
01015981903,0.0
01017953800,72.5
01017953900,47.0
01017954001,51.5
01017954002,40.5
01017954200,79.4
01017954300,49.2
01017954600,74.6
01017954700,72.3
01017954800,33.3
01019955701,88.8
01019955702,97.0
01019955801,96.4
01019955802,97.7
01019955900,87.6
01019956000,85.8
01019956101,99.5
01019956102,90.5
01021060101,69.9
01021060103,79.6
01021060104,82.3
01021060200,97.6
01021060300,94.8
01021060401,91.7
01021060403,60.7
01021060404,73.3
01021060500,73.6
01021060600,95.4
01021060701,87.8
01021060702,90.1
01023956700,20.9
01023956800,63.8
01023956900,89.6
01023957000,51.1
01025957500,68.9
01025957601,72.4
01025957603,35.9
01025957604,69.4
01025957700,56.7
01025957800,48.8
01025957901,66.5
01025957902,45.7
01025958003,37.1
01027958900,78.0
01027959000,80.6
01027959100,92.6
01027959200,86.5
01029959500,94.6
01029959600,93.4
01029959700,88.9
01029959800,95.8
01031010100,91.6
01031010200,84.3
01031010300,87.2
01031010400,79.2
01031010500,66.0
01031010600,95.9
01031010700,93.4
01031010800,88.4
01031010900,56.7
01031011000,63.3
01031011100,73.5
01031011203,86.5
01031011204,81.1
01031011205,63.3
01031011206,64.5
01031011300,49.9
01033020100,78.3
01033020200,81.6
01033020300,43.8
01033020400,91.7
01033020500,76.5
01033020600,59.6
01033020703,80.2
01033020704,83.7
01033020705,67.3
01033020706,79.7
01033020801,74.4
01033020802,80.4
01033020901,94.7
01033020902,92.1
01033021000,81.3
01035960200,51.8
01035960300,71.5
01035960400,57.9
01035960500,47.5
01035960600,35.3
01037961000,31.0
01037961100,94.9
01037961200,70.8
01039961600,91.0
01039961700,83.7
01039961800,83.3
01039961900,79.7
01039962000,75.8
01039962100,57.8
01039962300,97.7
01039962400,92.8
01039962500,80.9
01039962600,69.4
01039962700,65.5
01039962800,96.7
01039962900,97.4
01039963000,87.0
01041963400,67.2
01041963500,79.9
01041963600,74.3
01041963700,73.1
01041963800,55.6
01041963900,72.7
01043964100,98.6
01043964201,94.2
01043964202,99.2
01043964300,86.5
01043964400,96.3
01043964500,99.7
01043964600,97.1
01043964700,88.4
01043964800,93.3
01043964901,95.2
01043964902,81.0
01043965001,96.0
01043965002,88.8
01043965100,97.5
01043965200,98.0
01043965300,98.1
01043965401,89.8
01043965402,97.0
01043965501,83.4
01043965502,94.4
01043965600,89.4
01043965700,95.6
01045020000,74.2
01045020100,87.6
01045020200,91.2
01045020300,85.0
01045020400,88.4
01045020500,62.8
01045020700,26.2
01045020801,59.2
01045020802,74.2
01045021101,68.3
01045021102,62.5
01045021200,78.3
01045021300,85.4
01045021400,67.8
01047956101,46.7
01047956102,62.3
01047956201,73.0
01047956202,68.8
01047956300,6.4
01047956400,6.4
01047956500,2.1
01047956600,14.7
01047956701,44.5
01047956702,38.8
01047956800,16.9
01047956900,11.6
01047957000,35.6
01047957100,24.1
01047957200,0.3
01047957301,4.0
01047957302,28.8
01049960101,92.9
01049960102,94.1
01049960200,87.7
01049960301,78.2
01049960302,90.5
01049960303,81.4
01049960401,100.0
01049960402,93.3
01049960500,96.0
01049960601,92.7
01049960602,90.1
01049960701,79.0
01049960702,88.4
01049960703,75.9
01049960800,61.2
01049960900,73.9
01049961000,89.4
01049961100,75.8
01049961200,88.2
01049961300,79.9
01049961400,87.9
01051030101,98.0
01051030102,92.8
01051030103,54.4
01051030200,89.8
01051030300,90.4
01051030401,85.1
01051030402,80.7
01051030500,83.6
01051030600,69.2
01051030701,87.4
01051030702,86.9
01051030801,67.7
01051030802,60.6
01051030901,68.2
01051030902,65.8
01051031001,68.2
01051031002,73.1
01051031100,77.9
01051031200,46.2
01051031300,57.9
01053969801,97.0
01053969802,68.5
01053969900,84.0
01053970100,75.2
01053970200,34.6
01053970300,76.8
01053970400,42.2
01053970500,66.2
01053970600,29.8
01053970700,63.0
01055000200,47.3
01055000300,35.4
01055000400,88.6
01055000500,82.8
01055000600,60.0
01055000700,48.2
01055000800,29.1
01055000900,66.2
01055001000,34.2
01055001100,88.4
01055001200,73.9
01055001300,56.8
01055001600,23.1
01055001700,49.1
01055010100,69.4
01055010201,74.5
01055010202,98.9
01055010300,90.3
01055010401,74.6
01055010402,94.4
01055010503,98.0
01055010504,94.4
01055010505,93.9
01055010506,97.7
01055010601,97.8
01055010602,96.9
01055010700,74.9
01055010800,96.5
01055010900,99.2
01055011001,94.4
01055011002,96.0
01055011100,96.4
01055011200,27.5
01057020000,98.5
01057020100,94.5
01057020200,74.8
01057020300,73.9
01057020400,95.1
01059972900,86.9
01059973000,62.8
01059973100,97.1
01059973200,57.7
01059973300,68.4
01059973400,90.7
01059973500,99.3
01059973600,96.9
01059973701,99.5
01059973702,95.3
01059973703,97.2
01061050100,84.8
01061050200,87.3
01061050300,86.7
01061050400,81.8
01061050500,83.3
01061050600,94.6
01063060000,8.3
01063060101,21.9
01063060102,26.5
01063060200,15.4
01065040000,51.7
01065040100,64.4
01065040200,61.4
01065040300,26.2
01065040401,29.9
01065040402,14.5
01065040500,34.8
01067030100,39.4
01067030200,53.6
01067030300,67.4
01067030400,75.5
01067030500,79.7
01067030600,89.2
01069040100,91.8
01069040203,83.0
01069040204,79.2
01069040205,84.6
01069040206,83.7
01069040301,58.7
01069040302,50.2
01069040400,80.3
01069040500,70.7
01069040600,9.7
01069040700,46.9
01069040801,82.1
01069040802,76.7
01069040900,66.2
01069041000,28.8
01069041100,62.8
01069041200,31.0
01069041400,24.3
01069041500,20.5
01069041600,65.2
01069041700,85.4
01069041800,74.1
01069041901,87.7
01069041902,79.1
01069042000,85.8
01069042100,88.0
01071950101,96.7
01071950102,91.6
01071950200,93.8
01071950301,93.3
01071950302,76.8
01071950400,93.6
01071950500,95.6
01071950601,93.6
01071950602,83.1
01071950700,90.0
01071950800,87.2
01071950901,91.8
01071950902,93.2
01071951000,93.5
01071951101,94.7
01071951102,89.7
01073000100,16.0
01073000300,22.0
01073000400,11.8
01073000500,1.9
01073000700,0.9
01073000800,3.2
01073001100,1.7
01073001200,20.9
01073001400,0.2
01073001500,6.5
01073001600,13.8
01073001902,14.1
01073002000,36.7
01073002100,24.7
01073002200,6.1
01073002303,5.1
01073002305,71.4
01073002306,85.6
01073002401,56.6
01073002402,4.4
01073002701,84.7
01073002702,17.6
01073002900,7.6
01073003001,30.9
01073003002,3.3
01073003100,7.1
01073003200,3.1
01073003300,0.0
01073003400,2.1
01073003500,13.8
01073003600,3.3
01073003700,4.3
01073003802,1.8
01073003803,4.2
01073003900,8.9
01073004000,9.8
01073004200,14.1
01073004501,57.8
01073004502,40.8
01073004701,80.1
01073004702,88.6
01073004800,94.0
01073004901,69.3
01073004902,66.4
01073005000,74.7
01073005101,4.2
01073005103,9.7
01073005104,30.5
01073005200,4.9
01073005302,45.1
01073005500,19.8
01073005600,81.7
01073005701,0.4
01073005702,6.4
01073005800,37.3
01073005903,30.5
01073005905,21.9
01073005907,16.7
01073005908,17.2
01073005909,13.9
01073005910,7.1
01073010001,54.2
01073010002,60.5
01073010100,2.5
01073010200,22.5
01073010301,10.9
01073010302,1.2
01073010401,24.3
01073010402,11.7
01073010500,20.6
01073010603,5.5
01073010604,6.3
01073010605,6.2
01073010701,66.4
01073010702,91.5
01073010703,94.6
01073010704,70.9
01073010705,91.5
01073010706,68.8
01073010801,95.1
01073010802,99.5
01073010803,64.9
01073010804,97.9
01073010806,98.5
01073010807,72.9
01073010900,29.4
01073011002,36.5
01073011003,93.0
01073011004,93.2
01073011108,78.5
01073011109,93.6
01073011110,71.6
01073011112,32.5
01073011113,28.6
01073011114,87.3
01073011115,90.1
01073011116,98.3
01073011117,66.3
01073011205,60.5
01073011206,70.2
01073011207,26.9
01073011208,49.6
01073011209,24.0
01073011210,32.0
01073011301,78.0
01073011303,95.8
01073011304,93.3
01073011401,65.2
01073011402,97.9
01073011500,97.1
01073011600,86.6
01073011704,95.0
01073011706,96.8
01073011707,84.4
01073011708,70.3
01073011709,74.4
01073011710,96.7
01073011803,17.7
01073011804,13.9
01073011805,37.3
01073011806,11.2
01073011901,62.5
01073011904,9.5
01073012001,49.9
01073012003,63.5
01073012004,42.1
01073012103,45.4
01073012104,62.4
01073012200,79.3
01073012302,88.1
01073012304,41.8
01073012306,13.9
01073012307,45.0
01073012401,3.3
01073012402,27.6
01073012403,38.5
01073012500,50.3
01073012602,52.2
01073012701,59.7
01073012703,72.7
01073012704,88.4
01073012802,97.2
01073012804,94.9
01073012805,79.5
01073012905,90.8
01073012907,69.4
01073012908,47.3
01073012910,81.1
01073012911,95.4
01073012913,35.1
01073012914,92.1
01073012916,87.6
01073012917,68.2
01073012918,67.6
01073012919,26.8
01073012920,82.2
01073012921,93.2
01073013002,12.5
01073013100,2.9
01073013200,7.2
01073013300,13.7
01073013400,8.4
01073013601,9.5
01073013801,11.1
01073013901,25.6
01073013902,42.9
01073014001,94.7
01073014002,72.3
01073014104,42.0
01073014105,21.5
01073014106,87.1
01073014107,100.0
01073014205,41.9
01073014206,71.9
01073014207,70.2
01073014208,61.8
01073014209,69.8
01073014301,52.2
01073014303,69.1
01073014304,47.3
01073014404,62.9
01073014405,63.3
01073014406,76.6
01073014408,55.0
01073014409,81.1
01073014410,76.1
01073014412,94.4
01073014414,88.0
01073014415,72.1
01075030000,86.0
01075030101,80.2
01075030102,97.3
01075030200,91.1
01077010100,76.3
01077010200,83.5
01077010300,5.7
01077010400,83.3
01077010600,68.4
01077010700,75.9
01077010800,77.4
01077010901,83.9
01077010902,65.4
01077011000,64.9
01077011101,85.1
01077011102,87.5
01077011200,83.9
01077011300,98.8
01077011401,96.5
01077011402,100.0
01077011502,95.8
01077011503,91.0
01077011504,84.9
01077011602,100.0
01077011603,96.3
01077011605,90.6
01077011606,88.9
01077011700,98.4
01077011801,96.8
01077011802,90.1
01079979100,37.8
01079979201,27.9
01079979202,66.4
01079979300,81.7
01079979400,79.1
01079979501,90.4
01079979502,89.8
01079979600,83.1
01079979700,82.2
01079979800,88.2
01079979900,87.3
01081040201,69.9
01081040202,73.7
01081040300,82.3
01081040401,65.7
01081040402,81.4
01081040403,83.7
01081040501,85.0
01081040502,51.6
01081040602,53.0
01081040603,29.5
01081040605,88.6
01081040606,77.8
01081040607,68.3
01081040700,72.9
01081040801,85.3
01081040802,64.0
01081040901,80.8
01081040903,48.4
01081040904,66.9
01081041001,77.1
01081041002,49.6
01081041101,49.2
01081041102,46.5
01081041103,54.8
01081041104,74.8
01081041200,79.6
01081041300,67.9
01081041400,7.4
01081041600,22.2
01081041701,49.7
01081041702,79.5
01081041703,67.5
01081041801,69.6
01081041802,72.6
01081041803,92.3
01081041901,89.0
01081041902,81.5
01081041903,92.5
01081042002,76.2
01081042003,79.9
01081042005,80.1
01081042006,78.3
01081042007,77.7
01081042008,84.7
01081042009,65.8
01081042101,63.7
01081042103,87.3
01081042104,74.0
01083020101,95.2
01083020103,91.9
01083020104,97.9
01083020201,86.0
01083020202,92.9
01083020300,87.6
01083020402,84.7
01083020403,92.5
01083020404,83.4
01083020500,76.7
01083020600,77.5
01083020700,69.9
01083020803,75.2
01083020804,94.1
01083020805,72.5
01083020806,86.8
01083020900,78.4
01083021000,41.3
01083021101,56.7
01083021102,70.6
01083021201,59.0
01083021202,72.2
01083021203,61.2
01085780800,40.9
01085781000,25.6
01085781100,3.8
01085781200,16.6
01087231400,33.9
01087231500,49.6
01087231601,15.8
01087231602,2.2
01087231603,22.4
01087231700,5.2
01087231800,0.1
01087231900,0.0
01087232000,5.1
01087232100,0.7
01087232200,22.2
01087232300,3.7
01089000203,18.9
01089000301,19.7
01089000302,9.3
01089000403,23.0
01089000501,17.2
01089000502,13.3
01089000503,10.3
01089000601,37.4
01089000602,41.1
01089000701,24.6
01089000702,24.8
01089000901,90.5
01089000902,93.5
01089001000,88.9
01089001200,4.0
01089001301,25.5
01089001302,21.8
01089001401,73.1
01089001403,38.0
01089001404,61.7
01089001500,49.5
01089001700,95.2
01089001801,92.8
01089001901,88.0
01089001902,93.3
01089001903,82.8
01089002000,93.3
01089002100,28.6
01089002200,44.9
01089002300,66.1
01089002400,44.5
01089002501,34.5
01089002502,34.5
01089002600,84.1
01089002701,89.0
01089002721,87.4
01089002722,92.2
01089002801,68.8
01089002803,77.6
01089002804,91.2
01089002911,90.6
01089002912,85.9
01089002922,87.7
01089002923,70.6
01089002924,87.7
01089003000,36.2
01089003100,64.7
01089010101,78.0
01089010102,69.1
01089010200,86.3
01089010302,84.7
01089010303,85.7
01089010304,84.4
01089010403,77.4
01089010404,86.3
01089010405,77.8
01089010406,70.1
01089010502,64.2
01089010503,63.5
01089010504,67.2
01089010612,60.8
01089010623,70.6
01089010625,12.8
01089010626,68.1
01089010627,72.8
01089010628,82.3
01089010629,68.5
01089010630,73.6
01089010631,67.9
01089010703,68.3
01089010704,63.9
01089010705,48.7
01089010706,76.1
01089010801,80.3
01089010802,88.1
01089010902,90.9
01089010903,90.9
01089010904,85.1
01089010905,91.2
01089011012,86.0
01089011013,68.3
01089011021,74.6
01089011023,80.1
01089011024,81.7
01089011025,66.3
01089011026,79.0
01089011027,65.8
01089011028,76.2
01089011100,64.8
01089011201,62.4
01089011202,59.8
01089011203,61.9
01089011301,87.5
01089011302,81.0
01089011400,95.2
01091972901,34.4
01091972902,40.5
01091973001,31.1
01091973002,60.5
01091973100,36.0
01091973200,25.5
01091973300,47.8
01091973400,69.4
01093964001,93.4
01093964002,99.4
01093964100,98.3
01093964200,96.5
01093964300,90.0
01093964401,84.8
01093964402,94.7
01093964500,99.5
01093964600,83.7
01093964701,95.5
01093964702,93.6
01095030101,94.6
01095030102,94.1
01095030203,89.4
01095030204,100.0
01095030205,92.9
01095030206,99.4
01095030301,95.7
01095030302,94.5
01095030401,90.5
01095030402,96.1
01095030501,96.8
01095030502,97.1
01095030601,97.9
01095030602,79.0
01095030701,82.8
01095030702,82.0
01095030801,88.6
01095030803,90.9
01095030804,83.0
01095030902,88.6
01095030903,86.8
01095030904,93.5
01095031001,98.0
01095031002,90.9
01095031100,77.6
01095031200,91.8
01097000200,50.3
01097000401,0.0
01097000402,0.0
01097000500,1.7
01097000600,4.3
01097000701,1.7
01097000702,0.2
01097000801,9.9
01097000802,0.0
01097000901,66.2
01097000902,75.0
01097000903,49.4
01097001001,51.6
01097001002,57.5
01097001100,4.4
01097001200,35.7
01097001302,1.2
01097001400,1.0
01097001501,0.7
01097001502,0.0
01097001800,37.2
01097001901,41.0
01097001902,59.3
01097002000,69.5
01097002100,15.8
01097002200,16.2
01097002301,24.6
01097002302,2.4
01097002400,11.9
01097002501,89.5
01097002502,78.1
01097002600,13.0
01097002700,12.0
01097002800,55.4
01097002900,32.3
01097003000,73.6
01097003100,71.5
01097003202,46.1
01097003203,53.5
01097003205,15.8
01097003206,19.6
01097003207,53.4
01097003301,60.6
01097003302,80.9
01097003402,15.3
01097003404,9.8
01097003405,33.8
01097003406,37.9
01097003408,30.2
01097003409,49.4
01097003410,44.2
01097003501,84.5
01097003502,94.3
01097003602,13.6
01097003606,68.7
01097003607,51.2
01097003608,24.4
01097003703,55.6
01097003704,72.3
01097003705,66.7
01097003706,69.0
01097003707,51.7
01097003708,68.5
01097003710,62.8
01097003711,69.7
01097003712,56.0
01097003800,37.1
01097003901,2.9
01097003902,0.0
01097004000,0.0
01097004100,1.5
01097004800,0.6
01097004900,2.5
01097005000,15.6
01097005100,35.2
01097005200,70.4
01097005300,53.6
01097005400,81.9
01097005500,68.8
01097005601,79.7
01097005602,76.4
01097005701,77.4
01097005702,86.7
01097005800,40.7
01097005900,84.5
01097006000,69.8
01097006102,88.5
01097006103,6.5
01097006104,81.3
01097006106,69.8
01097006107,81.5
01097006201,94.9
01097006202,65.4
01097006303,82.9
01097006304,86.1
01097006305,78.1
01097006306,69.7
01097006307,74.3
01097006402,68.6
01097006403,73.4
01097006407,90.0
01097006408,76.7
01097006409,82.6
01097006410,66.6
01097006411,65.1
01097006412,86.4
01097006413,85.3
01097006501,83.2
01097006503,81.3
01097006504,93.9
01097006505,76.0
01097006600,85.7
01097006702,68.6
01097006703,76.0
01097006704,53.5
01097006802,84.1
01097006803,63.4
01097006804,77.2
01097006902,72.0
01097006903,35.6
01097006904,82.4
01097007000,91.9
01097007101,80.9
01097007102,39.6
01097007103,86.4
01097007201,87.8
01097007203,97.5
01097007204,85.5
01097007300,83.9
01097007400,38.4
01097007500,1.3
01097007600,0.8
01097007700,0.9
01097980000,61.4
01099075600,26.7
01099075700,43.5
01099075800,17.7
01099075901,57.4
01099075902,35.7
01099076000,44.8
01099076101,87.3
01099076102,74.6
01099076200,73.7
01101000100,55.4
01101000200,19.4
01101000300,9.3
01101000400,31.4
01101000500,56.9
01101000600,4.9
01101000700,22.0
01101000900,67.5
01101001000,8.0
01101001100,0.8
01101001200,2.1
01101001300,42.1
01101001400,81.1
01101001500,22.7
01101001600,29.6
01101001700,75.6
01101001800,56.9
01101001900,67.1
01101002000,67.8
01101002100,24.6
01101002201,2.1
01101002202,0.0
01101002300,0.0
01101002400,0.9
01101002500,14.8
01101002600,70.5
01101002700,55.7
01101002800,20.6
01101002901,2.8
01101002902,4.2
01101003000,6.9
01101003100,4.3
01101003200,4.1
01101003301,52.7
01101003303,20.1
01101003304,27.3
01101005101,24.8
01101005102,3.4
01101005301,56.3
01101005302,49.0
01101005402,18.5
01101005403,18.1
01101005407,46.1
01101005409,36.1
01101005410,20.5
01101005411,77.7
01101005412,67.2
01101005413,67.3
01101005414,22.0
01101005501,21.9
01101005502,36.1
01101005503,67.3
01101005504,89.9
01101005604,59.0
01101005605,21.6
01101005606,12.7
01101005607,52.5
01101005608,69.8
01101005609,17.4
01101005610,24.4
01101005611,48.3
01101005612,34.5
01101005613,15.1
01101005614,12.0
01101005700,66.5
01101005800,69.5
01101005902,1.0
01101005903,49.4
01101005904,43.1
01101006000,48.0
01101006100,0.8
01103000100,55.7
01103000200,90.5
01103000300,92.1
01103000400,68.5
01103000600,22.4
01103000700,31.2
01103000800,60.2
01103000900,52.8
01103001000,62.5
01103005101,78.8
01103005103,71.6
01103005105,94.1
01103005106,64.4
01103005107,84.7
01103005108,84.4
01103005109,53.1
01103005201,85.2
01103005202,99.0
01103005302,92.0
01103005303,88.3
01103005304,84.6
01103005305,82.6
01103005306,91.8
01103005404,92.1
01103005405,95.9
01103005500,91.4
01103005601,90.5
01103005602,99.1
01103005701,87.9
01103005703,82.3
01103005704,90.4
01105686800,53.8
01105687001,64.8
01105687002,28.1
01105687100,11.1
01107050000,82.7
01107050100,57.5
01107050200,68.9
01107050300,47.5
01107050401,25.0
01107050402,55.9
01109188600,70.0
01109188700,61.7
01109188800,70.6
01109188900,33.1
01109189001,65.5
01109189002,51.0
01109189003,54.2
01109189101,54.4
01109189102,68.7
01109189200,72.2
01109189300,49.3
01111000100,93.3
01111000200,94.2
01111000300,80.5
01111000400,74.3
01111000500,53.6
01111000600,73.5
01113030200,29.5
01113030300,54.3
01113030402,73.2
01113030403,53.2
01113030404,73.0
01113030500,56.9
01113030601,24.6
01113030602,33.9
01113030700,24.6
01113030800,5.1
01113030903,36.7
01113030904,31.6
01113030905,48.8
01113030906,60.0
01113030907,71.7
01113031000,78.7
01113031100,31.2
01113031200,70.5
01115040104,87.7
01115040105,94.4
01115040107,79.9
01115040108,91.2
01115040109,94.9
01115040110,83.8
01115040206,84.1
01115040207,96.3
01115040208,83.7
01115040209,84.5
01115040210,87.8
01115040211,82.0
01115040212,97.3
01115040213,96.2
01115040301,95.5
01115040302,90.5
01115040401,84.8
01115040402,88.3
01115040503,90.4
01115040504,90.7
01115040505,92.4
01115040506,73.1
01115040507,67.5
01115040508,95.9
01117030102,80.2
01117030103,97.4
01117030211,90.5
01117030212,60.8
01117030215,86.3
01117030216,86.7
01117030218,93.4
01117030219,91.7
01117030220,92.5
01117030221,72.4
01117030304,85.7
01117030305,86.5
01117030306,79.8
01117030314,64.0
01117030315,75.5
01117030316,78.4
01117030317,79.0
01117030319,56.4
01117030320,79.2
01117030330,94.1
01117030331,88.2
01117030336,72.0
01117030337,68.2
01117030340,80.9
01117030341,63.0
01117030345,82.9
01117030346,84.8
01117030347,78.9
01117030348,85.8
01117030349,88.1
01117030350,85.3
01117030351,95.6
01117030352,80.4
01117030405,68.1
01117030406,74.7
01117030407,77.0
01117030408,61.5
01117030502,84.8
01117030503,72.2
01117030504,63.4
01117030607,62.2
01117030610,69.0
01117030611,90.0
01117030612,86.2
01117030613,78.2
01117030614,53.3
01117030615,84.4
01117030616,88.1
01117030701,74.9
01117030703,76.1
01117030704,91.4
01117030800,90.8
01117030900,92.4
01117980000,0.0
01117980100,0.0
01119011301,33.0
01119011302,24.1
01119011400,31.6
01119011500,11.5
01119011600,44.5
01121010101,75.7
01121010102,73.3
01121010201,67.7
01121010202,68.6
01121010301,50.5
01121010302,75.3
01121010400,82.5
01121010500,27.3
01121010600,13.0
01121010700,33.6
01121010900,66.6
01121011000,89.8
01121011100,66.3
01121011200,27.7
01121011301,63.3
01121011302,58.2
01121011400,57.4
01121011501,95.5
01121011502,83.3
01121011600,60.4
01121011700,78.4
01121011800,62.4
01121011900,75.9
01121012000,49.8
01123961900,91.4
01123962000,66.8
01123962100,43.5
01123962200,72.0
01123962301,80.8
01123962302,67.2
01123962400,62.6
01123962501,93.5
01123962502,94.3
01123962600,10.8
01123962701,86.9
01123962702,67.6
01125010101,91.0
01125010102,95.9
01125010104,94.6
01125010105,99.0
01125010201,97.0
01125010203,90.7
01125010204,85.3
01125010205,91.0
01125010206,73.3
01125010302,82.4
01125010303,63.4
01125010304,63.1
01125010305,90.8
01125010403,60.1
01125010404,38.9
01125010405,83.7
01125010406,93.3
01125010407,72.6
01125010500,40.2
01125010601,94.6
01125010603,79.6
01125010604,96.9
01125010703,86.8
01125010704,70.8
01125010705,65.3
01125010706,85.0
01125010707,87.9
01125010802,62.3
01125010803,51.4
01125010804,61.4
01125011200,81.0
01125011401,90.2
01125011402,72.1
01125011600,46.0
01125011701,13.9
01125011703,1.6
01125011800,0.3
01125011901,53.8
01125011902,33.5
01125012001,79.6
01125012002,90.1
01125012101,58.5
01125012102,72.4
01125012304,19.8
01125012305,33.0
01125012306,50.6
01125012307,50.3
01125012403,48.1
01125012404,20.0
01125012406,18.3
01125012407,10.0
01125012408,6.9
01125012501,15.4
01125012503,55.2
01125012504,55.9
01125012505,53.4
01125012600,70.2
01125012700,39.9
01125012800,4.9
01127020100,79.8
01127020200,88.4
01127020301,87.5
01127020302,86.5
01127020400,65.1
01127020600,89.4
01127020700,95.0
01127020801,84.3
01127020802,96.0
01127020900,96.0
01127021000,98.7
01127021100,94.6
01127021200,94.0
01127021300,93.8
01127021400,89.6
01127021500,90.7
01127021600,86.7
01127021700,76.5
01127021800,90.8
01127021900,98.0
01129043900,83.1
01129044000,82.8
01129044100,66.6
01129044200,35.2
01129044300,77.4
01131034700,2.4
01131034801,12.9
01131034802,42.4
01131035100,37.1
01131035200,29.3
01133965501,97.6
01133965502,96.0
01133965503,95.4
01133965601,96.5
01133965602,96.4
01133965700,94.4
01133965800,92.0
01133965900,99.2
